ASV	JS1	JS10	JS100	JS101	JS102	JS103	JS104	JS105	JS106	JS107	JS11	JS110	JS111	JS12	JS13	JS14	JS15	JS16	JS17	JS18	JS19	JS2	JS20	JS21	JS22	JS23	JS24	JS25	JS26	JS27	JS28	JS29	JS3	JS30	JS31	JS32	JS33	JS34	JS35	JS36	JS37	JS38	JS39	JS4	JS40	JS41	JS42	JS43	JS44	JS45	JS46	JS47	JS48	JS49	JS5	JS50	JS51	JS52	JS53	JS54	JS55	JS56	JS57	JS58	JS59	JS6	JS60	JS61	JS62	JS63	JS64	JS65	JS66	JS67	JS68	JS69	JS7	JS70	JS71	JS72	JS73	JS74	JS75	JS76	JS77	JS78	JS79	JS8	JS80	JS81	JS82	JS83	JS84	JS85	JS86	JS87	JS88	JS89	JS9	JS90	JS91	JS92	JS93	JS94	JS95	JS96	JS97	JS98	JS99
ASV_1	0	0	15839	1701	2668	1704	154	0	1698	5095	0	2937	355	0	0	0	6	0	0	3	0	0	0	0	0	0	0	1	4046	62	2	10	0	22	34	370	47	6253	11640	322	215	155	100	0	10	6	1194	5	23	331	59	17	27	3	0	5818	328	16602	654	5348	256	4185	387	1737	29374	0	302	5103	655	3937	3109	246	104	1637	2910	584	2	3726	25717	989	64622	692	2876	74601	722	11788	4984	0	685	67290	22515	3019	203	147	66	365	63	76011	5	1789	6393	236	251	56	263	3240	3095	3214	6504
ASV_2	390	49	276	307	619	571	365	305	276	56	201	443	102	243	36	1083	158	76	1112	796	430	625	848	102	745	836	40	397	1300	522	675	432	843	143	689	910	115	534	891	119	3562	1818	524	209	3962	1469	5211	5037	1059	892	3393	278	2385	628	418	195	2082	2999	244	319	1746	887	289	568	13683	350	4191	785	423	613	262	37	186	303	807	191	82	21945	6869	7033	416	5235	925	3439	12841	7299	9563	1942	3045	818	872	13184	140	3015	3598	11554	3008	156	5	41243	1337	673	514	17525	740	607	297	108	1641
ASV_3	224	67	42	21	61	81	48	500	0	5	38	481	3	20	78	146	86	55	1	0	0	725	0	13	7	2	0	0	14	20	25	48	1250	7	0	32	0	5	13	9	12	1	0	213	21	7	0	0	6	1	236	7	9	1727	49	44	47	133	24	9	1	0	8	17	9	3	0	1	0	2	2	4	0	1	2	12	60	1965	255	793	31	54	18	81	44787	1038	1033	492	23308	530	254	135	19213	29969	9598	4691	75372	76	231	1053	288	127	48	17611	248	189	95	31	38
ASV_4	16	24	17937	15179	23096	532	6687	47	39740	16771	8	626	5450	20	12	257	28	13	11	10	377	30	329	2383	134	95	14	105	130	53	702	73	1	121	48	150	16	7	70	2	63	106	32	23	18	51	3	12	14	3	0	22	16	1	241	0	28	7	5	14	0	0	0	0	19	8	1	12	3	4	3	0	2	8	3	13	4	391	416	217	10	1	369	4620	996	16523	380	40	257	96	146	526	140	95	46	641	13	761	2	131	781	3991	976	4068	377	5369	8201	996	25490
ASV_5	91	396	20177	25698	15224	1754	3215	2056	7493	7727	157	1057	8058	228	66	449	296	89	11	4	120	182	185	392	103	46	4	61	171	60	793	65	248	153	40	167	3	4	50	1	26	52	14	373	4	4	1	10	2	0	1	5	7	0	1288	0	2	4	0	3	0	0	0	1	23	232	2	5	0	1	2	2	0	0	0	2	39	225	133	122	98	36	36	245	181	2210	32	724	12	17	29	99	13	12	17	70	3	2952	101	5326	25671	2323	727	3492	216	10959	10559	2136	27349
ASV_6	0	0	275	7609	4585	361	186	41	688	817	2	69	226	0	15	0	5	3	456	83	771	0	2	54	6	9	1	1	11	10	27	28	2	26	28	202	47	39	202	45	98	37	88	0	60	80	4	237	10	826	436	149	129	20	0	28	32	54	76	116	19	130	104	136	9727	0	770	1419	1706	98	385	1289	1370	1942	968	414	1	64734	1475	8216	1134	3583	121	8466	1664	1513	560	1	503	383	1858	7175	462	2270	479	1294	24	172	2	1678	190	79	690	117	14387	3219	1263	130	189
ASV_7	0	21	269	3697	5608	3740	256	193	2696	10023	4	577	3888	8	29	2	15	16	163	42	281	6	103	22	11	201	22	77	12	10	377	162	3	79	107	1010	58	169	398	58	10	2	14	456	20	22	0	4	59	60	53	25	13	84	19	24	14	366	231	82	10	119	411	333	2020	3	278	74	123	13	87	314	0	220	91	275	24	28012	408	2189	3190	8749	97	10529	1494	2860	1572	16	548	1634	317	1948	658	2330	1348	2350	97	1590	7	2753	466	312	3983	515	6179	3038	4436	68	155
ASV_8	0	0	71	85	135	3133	12723	1	1741	23	0	9	28	1	0	0	0	0	5	0	3	0	0	0	0	6	0	0	0	0	0	2	1	0	1	3	1	1	3	2	0	0	0	0	0	142	0	1	0	0	0	67	63	4	0	6	1134	231	202	16	21	41	205	241	25	0	27	0	0	1124	1060	638	45	181	87	42	1	2601	1442	5524	1680	724	21	608	905	326	1127	1	484	889	59	142	32	36	2000	1380	312	533	0	2320	9159	6080	3096	1255	1536	1371	6937	729	512
ASV_9	86	10	117	83	58	129	85	93	33	4	17	113	34	33	19	82	11	12	397	655	74	18	20	19	702	70	7	28	1430	192	1102	134	42	46	104	361	29	50	1136	107	1426	745	136	69	1222	531	472	1330	507	232	1087	182	1022	730	16	124	806	1712	172	61	1870	243	73	398	2418	18	535	126	111	337	84	8	78	83	59	41	21	9650	1947	2754	184	1260	152	292	8315	3060	695	170	923	183	338	1625	175	877	1228	2858	6544	30	27	2209	86	130	95	3194	184	118	174	50	497
ASV_10	13	16	2084	1346	666	627	866	46	233	108	7	533	473	14	8	14	4	11	131	275	648	44	1424	4333	62	554	69	141	523	75	655	212	57	502	838	1265	83	666	605	30	70	75	103	6	191	252	102	92	59	23	97	84	247	405	2	330	3649	1179	993	1223	303	142	659	578	742	1799	427	245	16	1303	381	11	40	105	53	26	145	6050	1933	2494	669	1445	275	318	685	3296	2058	196	1028	3978	168	502	148	185	406	1418	777	109	16	1093	5123	864	166	592	34	354	1376	211	1453
ASV_11	117	18	19	32	31	55	61	105	4	4	37	366	0	147	67	513	29	39	212	276	33	241	52	22	56	125	5	96	18	11	6	146	428	14	18	964	7	23	12	6	33	8	1	41	60	88	1213	68	6	8	79	12	8	471	95	9	456	77	27	19	177	212	29	24	692	77	514	31	26	14	4	1	57	51	57	14	36	1228	463	2826	18	467	34	118	22091	972	790	225	5258	239	76	48	1429	5527	1098	1011	8414	20	245	901	165	222	30	6040	95	57	34	44	88
ASV_12	24	71	94	469	698	362	23	376	238	617	154	359	394	26	25	21	29	20	258	261	125	92	77	24	36	70	11	71	66	27	19	40	248	88	68	376	6	5	11	25	58	7	12	135	4	13	16	34	32	33	249	123	36	75	18	3	42	41	65	25	25	39	94	185	731	8	155	58	380	29	46	119	16	161	37	97	3	11714	320	5697	727	1735	58	582	509	492	437	12	4271	380	127	1452	6519	5623	800	2111	301	208	211	1776	440	309	1069	7540	1224	748	352	40	711
ASV_13	53	7	32	26	39	117	79	27	9	2	10	104	1	27	22	67	13	2	225	462	47	37	26	13	445	45	1	21	1365	117	742	54	59	33	71	247	25	21	1557	110	2026	1031	155	30	1193	360	586	1566	610	266	1253	232	1429	1120	13	166	723	1670	226	74	1403	348	119	477	1308	25	637	159	103	448	156	10	95	55	48	39	7	12414	2806	3504	57	1526	53	263	2090	544	670	135	1025	107	53	2468	61	803	670	2099	827	14	4	3808	138	78	109	2258	167	64	117	21	43
ASV_14	9	79	13	36	29	43	132	433	51	38	13	224	31	4	25	73	21	307	2278	115	993	29	2213	547	2002	493	2780	392	49	109	663	212	30	472	206	8891	1301	1646	2824	320	151	86	4358	0	2525	1657	1820	2531	295	321	1034	537	2752	235	70	197	481	3670	992	229	83	736	41	60	44	1139	19	2	1	3	4	1	5	229	13	32	180	2035	81	59	26	297	10	140	6	29	19	14	2269	177	106	13	25	8	210	1065	63	115	33	47	50	41	23	7	8	59	248	1	17
ASV_15	90	75	11	791	20	4	8	360	0	0	34	1180	2	32	176	25	72	109	9	2	1	280	3	3	1	17	1	3	0	30	0	5	459	3	1	31	3	0	2	11	138	5	4	36	3	25	1	0	0	1	37	18	5	12	46	0	93	4	25	1	6	5	9	10	7986	897	415	22	109	13	10	1	1	12	48	7	117	90	171	82	3	2	31	50	15956	5653	484	143	3548	112	33	38	1750	8269	1332	724	4917	2	1075	10	10	1591	161	1855	15	65	10	31	1126
ASV_16	29	55	230	5675	3030	1316	118	163	351	4059	74	595	1955	56	77	10	0	27	148	0	144	29	9	12	2	9	4	4	0	106	4	12	67	23	40	216	63	10	20	6	2	0	2	28	4	154	2	183	43	4	697	475	296	16	2	4	14	3	136	108	29	92	55	332	215	4	310	85	45	64	51	1191	13	358	197	70	1	79	19	5071	367	4299	44	1468	117	2681	2063	12	786	2191	325	854	631	741	2027	1133	369	490	4	2689	860	591	2232	227	2602	971	2325	56	87
ASV_17	57	62	1172	1874	1684	1473	2701	334	1775	2281	34	372	469	81	38	538	57	23	0	3	172	206	77	863	76	89	2	80	46	34	118	29	284	51	30	143	5	33	113	4	275	212	43	103	23	34	6	49	58	32	10	33	14	10	63	32	50	67	21	8	11	33	201	30	265	11	66	41	27	46	30	24	1	18	6	7	19	2779	1006	659	187	51	71	789	104	1338	185	104	68	51	931	643	206	190	206	681	6	2804	13	593	1831	575	1595	963	742	5014	6408	1064	2820
ASV_18	0	0	109	2088	2091	1179	112	0	1557	4471	0	124	1321	0	3	0	0	5	1	62	9	0	5	1	8	18	12	12	3	1	2	8	0	36	17	258	6	2	115	17	12	16	21	0	33	21	20	54	44	52	48	44	32	76	0	7	31	310	312	103	77	69	180	34	538	0	119	82	118	23	163	124	112	246	146	97	0	14848	298	3572	413	2852	32	2637	381	692	593	0	221	466	1031	1137	158	732	730	786	284	351	0	333	120	191	1442	105	944	872	666	22	59
ASV_19	0	0	1467	154	219	87	20	0	141	503	0	268	50	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	380	7	1	2	0	2	1	15	4	524	968	28	21	16	20	0	2	1	114	0	1	31	14	1	3	0	0	690	22	1650	46	419	18	409	27	164	2892	0	24	497	75	334	307	20	11	157	308	53	1	322	2604	73	6093	64	263	7050	63	1054	402	0	63	4906	2076	238	14	17	3	35	4	7385	0	120	310	22	37	7	26	277	254	357	663
ASV_20	0	1	86	2172	4419	1539	175	11	323	2335	1	150	1073	0	11	0	0	7	17	0	20	0	0	0	0	1	0	0	0	0	21	15	0	4	3	10	7	30	57	12	0	0	8	5	18	64	3	47	2	5	4	0	3	101	2	17	13	100	30	55	16	84	113	106	605	0	117	36	201	25	32	130	20	123	23	106	0	4145	169	961	1493	2699	38	1547	273	549	645	2	176	794	853	1067	992	141	451	922	120	845	4	1518	225	86	960	43	660	1160	1095	31	55
ASV_21	0	0	42	1339	1902	1092	87	12	1152	5591	0	57	1684	0	1	0	1	0	19	36	67	0	0	0	0	0	0	2	1	4	0	0	0	5	4	168	17	7	7	6	8	3	16	0	23	23	0	24	1	55	42	15	12	36	0	20	18	16	11	15	6	0	3	3	826	0	51	39	111	5	9	57	12	29	10	16	0	2377	81	785	3294	6043	57	2568	531	409	314	0	206	79	663	551	255	298	241	357	27	551	0	854	61	48	361	63	1131	307	718	12	26
ASV_22	4	20	458	5588	367	68	330	63	0	1	2	147	311	9	9	150	0	20	124	9	187	7	133	5	15	857	38	694	120	29	5	19	0	46	13	806	27	144	189	13	6	1	3	0	14	22	19	2	12	8	69	16	35	125	11	70	1054	159	338	57	272	98	482	17	1350	0	307	509	166	251	30	13	11	21	13	43	0	1793	37	1670	32	226	37	112	892	2411	89	0	280	183	225	39	242	69	102	101	133	33	55	12	5950	318	269	62	69	252	3771	60	1500
ASV_23	23	20	3405	3207	1509	408	494	87	2440	30	21	92	169	4	7	41	49	11	6	58	324	10	479	231	369	90	14	98	15	64	248	93	0	380	56	139	1305	156	382	20	99	94	72	71	84	66	0	75	479	95	23	1146	28	51	297	7	35	15	33	36	2	0	3	1	3573	10	33	23	11	1	1	2	7	19	10	41	12	536	568	66	27	10	119	899	31	111	37	76	14	9	214	426	307	39	369	108	2	211	3	237	1452	266	2558	204	507	1057	754	71	2984
ASV_24	232	225	129	1309	1687	1247	195	1390	1622	1835	242	1900	111	91	151	51	82	85	400	12	322	363	36	18	120	132	76	93	41	41	28	55	412	200	99	592	9	27	772	78	21	39	13	209	27	25	5	18	73	188	299	162	134	26	318	12	137	73	255	92	45	149	213	183	439	49	130	105	177	21	56	239	169	397	168	74	118	614	79	978	9	477	9	882	58	93	370	58	91	583	819	915	838	604	1059	1041	118	548	161	52	263	185	1765	63	1035	351	919	28	95
ASV_25	1	0	109	1957	1867	1736	89	0	1520	2587	0	127	1049	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	10	3	1	2	1	4	5	1	12	2	5	1	5	2	5	1	0	2	3	14	17	16	7	8	0	3	1	31	20	47	1	13	40	4	195	0	30	15	40	7	18	33	1	21	19	7	0	1716	73	480	1807	1646	16	1367	141	263	516	0	123	305	864	916	828	432	256	459	83	848	0	434	165	107	1172	43	2056	824	1927	57	48
