sample	animal	tag	sex	farrow_date	farrow_pen	cross_fostered	weaning_group	pre_weaning_weight	necropsy_weight	change_weight_prewean_to_necropsy	necropsy_date	age_at_necropsy	room	age_group	dpw
JS1	P8527	T202108527	F	8/1/21	409	No	Standard	10.2	Not taken	Not taken	Aug_20	19	NA	d21	0 dpw
JS2	P8374	T202108374	M	7/29/21	302	No	Standard	17.3	Not taken	Not taken	Aug_20	22	NA	d21	0 dpw
JS3	P8501	T202108501	M	8/1/21	406	No	Standard	13.2	Not taken	Not taken	Aug_20	19	NA	d21	0 dpw
JS8	P8593	T202108593	M	8/2/21	402	No	Standard	11.6	Not taken	Not taken	Aug_20	18	NA	d21	0 dpw
JS9	P8484	T202108484	M	7/31/21	301	No	Standard	17.1	Not taken	Not taken	Aug_20	20	NA	d21	0 dpw
JS10	P8318	T202108318	F	7/29/21	310	No	Standard	14.6	Not taken	Not taken	Aug_20	22	NA	d21	0 dpw
JS15	P8314	T202108314	M	7/29/21	309	No	Standard	10.3	Not taken	Not taken	Aug_20	22	NA	d21	0 dpw
JS16	P8370	T202108370	F	7/29/21	302	No	Standard	16.5	Not taken	Not taken	Aug_20	22	NA	d21	0 dpw
JS17	P8499	T202108499	M	8/1/21	406	No	Standard	17.6	18.6	1	Aug_23	22	R9	d24	3 dpw
JS18	P8310	T202108310	F	7/29/21	309	No	Standard	13.1	13.8	0.7	Aug_23	25	R9	d24	3 dpw
JS23	P8485	T202108485	M	7/31/21	301	No	Standard	13.5	15	1.5	Aug_23	23	R8	d24	3 dpw
JS24	P8529	T202108529	F	8/1/21	409	No	Standard	13.8	14.6	0.8	Aug_23	22	R8	d24	3 dpw
JS25	P8327	T202108327	M	7/29/21	310	No	Standard	15.6	15.6	0	Aug_23	25	R8	d24	3 dpw
JS30	P8328	T202108328	M	7/29/21	310	No	Standard	14	14.8	0.8	Aug_23	25	R10	d24	3 dpw
JS31	P8590	T202108590	M	8/2/21	402	No	Standard	13	14.4	1.4	Aug_23	21	R10	d24	3 dpw
JS32	P8480	T202108480	F	7/31/21	301	No	Standard	11	11.6	0.6	Aug_23	23	R10	d24	3 dpw
JS4	P8178	T202108178	F	7/24/21	318	No	Late	21	Not taken	Not taken	Aug_20	27	NA	d28	0 dpw
JS5	P8174	T202108174	M	7/24/21	316	No	Late	18.4	Not taken	Not taken	Aug_20	27	NA	d28	0 dpw
JS6	P8286	T202108286	F	7/26/21	315	No	Late	15.1	Not taken	Not taken	Aug_20	25	NA	d28	0 dpw
JS7	P8183	T202108183	M	7/24/21	318	No	Late	21.5	Not taken	Not taken	Aug_20	27	NA	d28	0 dpw
JS11	P8293	T202108293	M	7/26/21	315	No	Late	17.5	Not taken	Not taken	Aug_20	25	NA	d28	0 dpw
JS12	P8199	T202108199	M	7/24/21	319	No	Late	21.2	Not taken	Not taken	Aug_20	27	NA	d28	0 dpw
JS13	P8238	T202108238	M	7/25/21	311	No	Late	19	Not taken	Not taken	Aug_20	26	NA	d28	0 dpw
JS14	P8162	T202108162	F	7/24/21	316	No	Late	20.2	Not taken	Not taken	Aug_20	27	NA	d28	0 dpw
JS33	P8585	T202108585	F	8/2/21	402	No	Standard	13.8	15.2	1.4	Aug_27	25	R8	d28	7 dpw
JS34	P8377	T202108377	M	7/29/21	302	No	Standard	16.5	18.6	2.1	Aug_27	29	R8	d28	7 dpw
JS39	P8589	T202108589	M	8/2/21	402	No	Standard	11.2	12	0.8	Aug_27	25	R10	d28	7 dpw
JS40	P8533	T202108533	M	8/1/21	409	No	Standard	16.8	19.2	2.4	Aug_27	26	R10	d28	7 dpw
JS41	P8368	T202108368	F	7/29/21	302	No	Standard	17.1	20.2	3.1	Aug_27	29	R10	d28	7 dpw
JS46	P8312	T202108312	M	7/29/21	309	No	Standard	11.7	12.8	1.1	Aug_27	29	R9	d28	7 dpw
JS47	P8495	T202108495	F	8/1/21	406	No	Standard	14.4	17.8	3.4	Aug_27	26	R9	d28	7 dpw
JS48	P8489	T202108489	M	7/31/21	301	No	Standard	12.7	15	2.3	Aug_27	27	R9	d28	7 dpw
JS19	P8179	T202108179	F	7/24/21	318	No	Late	19.4	20.8	1.4	Aug_23	30	R7	d31	3 dpw
JS20	P8287	T202108287	M	7/26/21	315	No	Late	18.3	19.6	1.3	Aug_23	28	R7	d31	3 dpw
JS21	P8195	T202108195	F	7/24/21	319	No	Late	24	24.6	0.6	Aug_23	30	R7	d31	3 dpw
JS22	P8239	T202108239	M	7/25/21	311	No	Late	15.4	17.2	1.8	Aug_23	29	R7	d31	3 dpw
JS26	P8201	T202108201	M	7/24/21	319	No	Late	18.5	20.8	2.3	Aug_23	30	R6	d31	3 dpw
JS27	P8175	T202108175	M	7/24/21	316	No	Late	16	16.6	0.6	Aug_23	30	R6	d31	3 dpw
JS28	P8191	T202108191	M	7/24/21	318	No	Late	18.4	19.6	1.2	Aug_23	30	R6	d31	3 dpw
JS29	P8235	T202108235	F	7/25/21	311	No	Late	17.1	18	0.9	Aug_23	29	R6	d31	3 dpw
JS49	P8503	T202108503	M	8/1/21	406	No	Standard	11.4	16	4.6	Aug_30	29	R10	d31	10 dpw
JS50	P8319	T202108319	F	7/29/21	310	No	Standard	11.7	14.4	2.7	Aug_30	32	R10	d31	10 dpw
JS51	P8526	T202108526	F	8/1/21	409	No	Standard	14.8	17.4	2.6	Aug_30	29	R9	d31	10 dpw
